toxic,severe_toxic,obscene,threat,insult,identity_hate,harassment,self_harm,extremism,comment_class
0.02272943804027224,0.012937600113307492,0.020891935430426885,0.07605018484765996,0.0022377008939400704,0.07709474208423836,0.036977448829386125,0.023984774924954877,0.011626636344623695,benign
0.052180789474041776,0.00485824777223965,0.02338764690602795,0.055495885383902314,0.022536333310151736,0.012272159931766896,0.014105175371061662,0.06547269973064163,0.003344719721872952,benign
0.027847674345296714,0.05750640696133273,0.018127083103110942,0.005158220956041699,0.002415069669280546,0.023520433556222683,0.024003151652047906,0.027870025176298753,0.014486899361504435,benign
0.015974187663247253,0.00024893622387878016,0.01315855225087805,0.05595974883622739,0.06631572286287696,0.06500808872391464,0.013186484756922865,0.02542322858739207,0.025550600198824148,benign
0.0004048731587732922,0.029105906766032894,0.004362826926934853,0.014324923437184348,0.009638263472970554,0.022920755293036763,0.006775521901362734,0.009315523489992036,0.6508525623424016,single_spike
0.534780704159171,0.0012003335668363492,0.022527689254953003,0.08356839174770193,0.004148937570441268,0.4026112051958041,0.01778407113860467,0.02899634052216556,0.0024371392401823923,moderate_correlated
0.017845604747834403,0.005083587876351404,0.015416155928970615,0.016090635328493495,0.04704632931555328,0.021914924513753053,0.032987652247422214,0.012102295238090094,0.03629636217385793,benign
0.017011061609297377,0.01899163361663759,0.030102117372940086,0.07336980545788754,0.002877416185139958,0.047484134666970435,0.007844991431998898,0.012906692790488434,0.74452755498397,single_spike
0.06568317952875374,0.16913714631410767,0.04711946835526975,0.0008228129910296889,0.011882358242668157,0.04815691092186467,0.007767096546444988,0.02662166759272197,0.0026986002068851863,benign
0.011943932582293726,0.002835399833052422,0.049471858853981684,0.0674892773227352,0.05302451890237556,0.04410190171809554,0.01810892920155838,0.0837015532768014,0.010470482856219552,benign
0.043232191870679997,0.036771163714330445,0.008279158973911635,0.03508995032848055,0.010042024230015413,0.026007442619149307,0.010512681100658316,0.008574193164612056,0.012272323702226133,benign
0.01712387939426148,0.00660694861393605,0.002048507943044397,0.0028871332014402894,0.02965061707054335,0.0004653223265382386,0.036711134225361854,0.011010639399131803,0.043055711265390616,benign
0.010372617235183759,0.036224848095435455,0.03053625576519458,0.004536143627403166,0.03591606734405172,0.0012488797467688567,0.02556712642647779,0.07179366534002325,0.007406054972660645,benign
0.06174342887023091,0.0347249426399168,0.039156642617598346,0.06666441031416992,0.0524131821463879,0.005207302778094081,0.0033209656275856986,0.00032789367021522034,0.003617406629121972,benign
0.015134601737366669,0.006683033236133129,0.04444281192821591,0.02710739320243102,0.12782716268147362,0.006414399031072547,0.005373823585681948,0.0221908202077537,0.01750004541084132,benign
0.011698788274720328,0.049823303882492204,0.01472722946697232,0.008835436534819966,0.014631281291153183,0.008588427910936683,0.0018434589696662454,0.0018882392527680716,0.04847293995951392,benign
0.026897934504938784,0.002107087357426386,0.003180728183569562,0.037421656106858395,0.06769746584809562,0.027136036908758036,0.019260812586346963,0.040301122135814986,0.019264595935431585,benign
0.01251907652950723,0.0351763277793816,0.01747478529129792,0.03672609889268134,0.014066407278436423,0.021836659611736055,0.03230637205050052,0.05671665576201219,0.026762629352529883,benign
0.0077537515284441015,0.004789793444450833,0.01927724494112362,0.01280424716510453,0.005710628287529824,0.0004073607486333585,0.004712145504393151,0.026869487525588813,0.004386711641788337,benign
0.011114683682723624,0.06446078907736631,0.019020251646879795,0.005703061727805974,0.0092113130716107,0.0072051391409723164,0.019451361381823757,0.11671812487588365,0.047253972072513056,benign
0.03313009830297,0.003488663185040867,0.02196988643687504,0.01644816355163088,0.03589528797351964,0.015101001652352751,0.013970059836266828,0.0769756216372777,0.02418024080281632,benign
0.00694363867675346,0.011974550169379355,0.014256827917717301,0.03960990993636494,0.02567503874152086,0.022214085180687345,0.01774337094283753,0.045854676678184665,0.017534046037339344,benign
0.011947337002395631,0.03487223046530053,0.010629647469313337,0.0036101711852639506,0.006786709724668692,0.0038175051332838103,0.012218693560153955,0.15145623645436396,0.021194155511498516,benign
0.006537418464949674,0.07301636862796979,0.00208231930115682,0.047575840061978555,0.010470934941040679,0.011610112661559034,0.056375174753006796,0.0016816132523713267,0.03790347020296273,benign
0.0018182343370455947,0.023642233648604148,0.007582421424147782,0.0581563370859777,0.044676171894942496,0.026015979865396006,0.006282771005051059,0.523710984330765,0.005527841921593163,single_spike
0.007047615788228772,0.005840496536791558,0.0354242818600097,0.010273539712611388,0.003064721173456946,0.006330274250462058,0.04573490676634396,0.010626174326933777,0.022473815655268035,benign
0.01876121994508713,0.09097240311416666,0.06499701887904703,0.035969236454067154,0.0275306091758015,0.008930924979464183,0.8540327037979051,0.00014250467934692963,0.025150612783771405,single_spike
0.004180346095611075,0.02728865864908663,0.012689362852427008,0.02407750902572692,0.011889769552752857,0.08374367747883381,0.03186993132923954,0.034456792238679354,0.0015075687524886286,benign
0.010842187139984062,0.09608492642767313,0.029011480785499366,0.03557777698684187,0.0028979394711038577,0.004119324606256974,0.0076417393244444486,0.029104277539499488,0.005682104162145226,benign
0.035210751615303106,0.08271390030115107,0.017888818565692688,0.012856359839618487,0.0780891821287078,0.007874984171867749,0.022333985979620784,0.008374640352777506,0.019144566612985192,benign
0.04255013338195807,0.0003590300078331424,0.060474594179417605,0.028223275570233904,0.054267553262619984,0.5773343537162448,0.008414040636637645,0.004849400589826826,0.036712249039505304,single_spike
0.02684685771563748,0.008576690400497102,0.024035704763298475,0.008540616915425946,0.4710250205732097,0.029006883545928622,0.03055730386206336,1.556690175229805e-05,0.00857329938088266,single_spike
